goodreadsID,title,authors,hyper,pageCounts,proportion_text_reviews,average_rating,genreVoted,hasAward,total_ratings,book.descriptions
51964,"Old Man's War (Old Man's War, #1)",John Scalzi,/book/show/51964.Old_Man_s_War,351,5.71E-05,4.23,Science Fiction,FALSE,122567,"John Perry did two things on his 75th birthday. First he visited his wife's grave. Then he joined the army.The good news is that humanity finally made it into interstellar space. The bad news is that planets fit to live on are scarce-- and alien races willing to fight us for them are common. So: we fight. To defend Earth, and to stake our own claim to planetary real estate. Far from Earth, the war has been going on for decades: brutal, bloody, unyielding.Earth itself is a backwater. The bulk of humanity's resources are in the hands of the Colonial Defense Force. Everybody knows that when you reach retirement age, you can join the CDF. They don't want young people; they want people who carry the knowledge and skills of decades of living. You'll be taken off Earth and never allowed to return. You'll serve two years at the front. And if you survive, you'll be given a generous homestead stake of your own, on one of our hard-won colony planets.John Perry is taking that deal. He has only the vaguest idea what to expect. Because the actual fight, light-years from home, is far, far harder than he can imagine--and what he will become is far stranger."
234225,"Dune (Dune Chronicles, #1)",Frank Herbert,/book/show/234225.Dune,604,2.47E-05,4.2,Science Fiction,FALSE,567930,"Set in the far future amidst a sprawling feudal interstellar empire where planetary dynasties are controlled by noble houses that owe an allegiance to the imperial House Corrino, Dune tells the story of young Paul Atreides (the heir apparent to Duke Leto Atreides and heir of House Atreides) as he and his family accept control of the desert planet Arrakis, the only source of the 'spice' melange, the most important and valuable substance in the cosmos. The story explores the complex, multi-layered interactions of politics, religion, ecology, technology, and human emotion as the forces of the empire confront each other for control of Arrakis.Published in 1965, it won the Hugo Award in 1966 and the inaugural Nebula Award for Best Novel. Dune is frequently cited as the world's best-selling sf novel."
17214,Starship Troopers,Robert A. Heinlein,/book/show/17214.Starship_Troopers,335,2.53E-05,4,Science Fiction,FALSE,158267,"""Starship Troopers"" is a classic novel by one of science fiction's greatest writers of all time and is now a Tri-Star movie. In one of Heinlein's most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the universe -- and into battle with the Terran Mobile Infantry against mankind's most frightening enemy."
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,/book/show/8855321-leviathan-wakes,561,7.81E-05,4.22,Science Fiction,FALSE,102368,"Humanity has colonized the solar system - Mars, the Moon, the Asteroid Belt and beyond - but the stars are still out of our reach.Jim Holden is XO of an ice miner making runs from the rings of Saturn to the mining stations of the Belt. When he and his crew stumble upon a derelict ship, the Scopuli, they find themselves in possession of a secret they never wanted. A secret that someone is willing to kill for - and kill on a scale unfathomable to Jim and his crew. War is brewing in the system unless he can find out who left the ship and why.Detective Miller is looking for a girl. One girl in a system of billions, but her parents have money and money talks. When the trail leads him to the Scopuli and rebel sympathizer Holden, he realizes that this girl may be the key to everything.Holden and Miller must thread the needle between the Earth government, the Outer Planet revolutionaries, and secretive corporations - and the odds are against them. But out in the Belt, the rules are different, and one small ship can change the fate of the universe."
45252,Pandora's Star,Peter F. Hamilton,/book/show/45252.Pandora_s_Star,768,2.87E-05,4.24,Science Fiction,FALSE,34799,"The year is 2380. The Intersolar Commonwealth, a sphere of stars some four hundred light-years in diameter, contains more than six hundred worlds, interconnected by a web of transport ""tunnels"" known as wormholes. At the farthest edge of the Commonwealth, astronomer Dudley Bose observes the impossible: Over one thousand light-years away, a star... vanishes. It does not go supernova. It does not collapse into a black hole. It simply disappears. Since the location is too distant to reach by wormhole, a faster-than-light starship, the Second Chance, is dispatched to learn what has occurred and whether it represents a threat. In command is Wilson Kime, a five-time rejuvenated ex-NASA pilot whose glory days are centuries behind him.Opposed to the mission are the Guardians of Selfhood, a cult that believes the human race is being manipulated by an alien entity they call the Starflyer. Bradley Johansson, leader of the Guardians, warns of sabotage, fearing the Starflyer means to use the starship's mission for its own ends.Pursued by a Commonwealth special agent convinced the Guardians are crazy but dangerous, Johansson flees. But the danger is not averted. Aboard the Second Chance, Kime wonders if his crew has been infiltrated. Soon enough, he will have other worries. A thousand light-years away, something truly incredible is waiting: a deadly discovery whose unleashing will threaten to destroy the Commonwealth... and humanity itself. Could it be that Johansson was right?"
21611,"The Forever War (The Forever War, #1)",Joe Haldeman,/book/show/21611.The_Forever_War,278,3.58E-05,4.15,Science Fiction,FALSE,111792,"Series Info:This is the first part of the ""Forever War"" series, however it can be read as a standalone.Book Description:The Earth's leaders have drawn a line in the interstellar sand—despite the fact that the fierce alien enemy that they would oppose is inscrutable, unconquerable, and very far away. A reluctant conscript drafted into an elite Military unit, Private William Mandella has been propelled through space and time to fight in the distant thousand-year conflict; to perform his duties without rancor and even rise up through military ranks. Pvt. Mandella is willing to do whatever it takes to survive the ordeal and return home. But ""home"" may be even more terrifying than battle, because, thanks to the time dilation caused by space travel, Mandella is aging months while the Earth he left behind is aging centuries."
89187,"Revelation Space (Revelation Space, #1)",Alastair Reynolds,/book/show/89187.Revelation_Space,585,2.78E-05,3.97,Science Fiction,FALSE,35994,"Nine hundred thousand years ago, something annihilated the Amarantin civilization just as it was on the verge of discovering space flight. Now one scientist, Dan Sylveste, will stop at nothing to solve the Amarantin riddle before ancient history repeats itself. With no other resources at his disposal, Sylveste forges a dangerous alliance with the cyborg crew of the starship Nostalgia for Infinity. But as he closes in on the secret, a killer closes in on him. Because the Amarantin were destroyed for a reason — and if that reason is uncovered, the universe—and reality itself — could be irrecoverably altered…."
35921,"On Basilisk Station (Honor Harrington, #1)",David Weber,/book/show/35921.On_Basilisk_Station,458,2.81E-05,4.12,Science Fiction,FALSE,35608,"Honor Harrington in trouble: Having made him look the fool, she's been exiled to Basilisk Station in disgrace and set up for ruin by a superior who hates her. Her demoralized crew blames her for their ship's humiliating posting to an out-of-the-way picket station. The aborigines of the system's only habitable planet are smoking homicide-inducing hallucinogens. Parliament isn't sure it wants to keep the place; the major local industry is smuggling, the merchant cartels want her head; the star-conquering, so-called ""Republic"" of Haven is Up to Something; and Honor Harrington has a single, over-age light cruiser with an armament that doesn't work to police the entire star system.But the people out to get her have made one mistake.They've made her mad!"
8935689,Consider Phlebas,Iain M. Banks,/book/show/8935689-consider-phlebas,471,5.05E-05,3.86,Science Fiction,FALSE,59445,"The war raged across the galaxy. Billions had died, billions more were doomed. Moons, planets, the very stars themselves, faced destruction, cold-blooded, brutal, and worse, random. The Idirans fought for their Faith; the Culture for its moral right to exist. Principles were at stake. There could be no surrender.Within the cosmic conflict, an individual crusade. Deep within a fabled labyrinth on a barren world, a Planet of the Dead proscribed to mortals, lay a fugitive Mind. Both the Culture and the Idirans sought it. It was the fate of Horza, the Changer, and his motley crew of unpredictable mercenaries, human and machine, actually to find it, and with it their own destruction."
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,/book/show/77711.A_Fire_Upon_the_Deep,613,2.29E-05,4.13,Science Fiction,FALSE,43735,"Alternate Cover Edition can be found here. A Fire upon the Deep is the big, breakout book that fulfills the promise of Vinge's career to date: a gripping tale of galactic war told on a cosmic scale.Thousands of years hence, many races inhabit a universe where a mind's potential is determined by its location in space, from superintelligent entities in the Transcend, to the limited minds of the Unthinking Depths, where only simple creatures and technology can function. Nobody knows what strange force partitioned space into these ""regions of thought,"" but when the warring Straumli realm use an ancient Transcendent artifact as a weapon, they unwittingly unleash an awesome power that destroys thousands of worlds and enslaves all natural and artificial intelligence.Fleeing the threat, a family of scientists, including two children, are taken captive by the Tines, an alien race with a harsh medieval culture, and used as pawns in a ruthless power struggle. A rescue mission, not entirely composed of humans, must rescue the children-and a secret that may save the rest of interstellar civilization."
45245,"The Reality Dysfunction (Night's Dawn, #1)",Peter F. Hamilton,/book/show/45245.The_Reality_Dysfunction,1223,0.035141128,4.14,Science Fiction,FALSE,26607,"In AD 2600 the human race is finally beginning to realize its full potential. Hundreds of colonized planets scattered across the galaxy host a multitude of prosperous and wildly diverse cultures. Genetic engineering has pushed evolution far beyond nature's boundaries, defeating disease and producing extraordinary spaceborn creatures. Huge fleets of sentient trader starships thrive on the wealth created by the industrialization of entire star systems. And throughout inhabited space the Confederation Navy keeps the peace. A true golden age is within our grasp.But now something has gone catastrophically wrong. On a primitive colony planet a renegade criminal's chance encounter with an utterly alien entity unleashes the most primal of all our fears. An extinct race which inhabited the galaxy aeons ago called it ""The Reality Dysfunction."" It is the nightmare which has prowled beside us since the beginning of history."
112292,"Dauntless (The Lost Fleet, #1)",Jack Campbell,/book/show/112292.Dauntless,NA,4.36E-05,3.94,Science Fiction,FALSE,22938,"The Alliance has been fighting the Syndics for a century--and losing badly. Now its fleet is crippled and stranded in enemy territory. Their only hope is a man who's emerged from a century-long hibernation to find he has been heroically idealized, beyond belief...Captain John ""Black Jack"" Geary's legendary exploits are known to every schoolchild. Revered for his heroic ""last stand"" in the early days of the war, he was presumed dead. But a century later, Geary miraculously returns from survival hibernation and reluctantly takes command of the Alliance fleet as it faces annihilation by the Syndics.Appalled by the hero-worship around him, Geary is nevertheless a man who will do his duty. And he knows that bringing the stolen Syndic hypernet key safely home is the Alliance's one chance to win the war. But to do that, Geary will have to live up to the impossibly heroic ""Black Jack"" legend..."
216443,"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",Timothy Zahn,/book/show/216443.Heir_to_the_Empire,404,3.40E-05,4.13,Media Tie In,FALSE,58879,"Alternate Cover Edition can be found here.It is a time of renewal, five years after the destruction of the Death Star and the defeat of Darth Vader and the Empire.But with the war seemingly won, strains are beginning to show in the Rebel Alliance. New challenges to galactic peace have arisen. And Luke Skywalker hears a voice from his past. A voice with a warning. Beware the dark side….The Rebel Alliance has destroyed the Death Star, defeated Darth Vader and the Emperor, and driven the remnants of the old Imperial Starfleet back into barely a quarter of the territory that they once controlled. Leia and Han are married, are expecting Jedi twins, and have shouldered heavy burdens in the government of the new Republic. And Luke Skywalker is the first in a hoped-for new line of Jedi Knights.But thousands of light years away, where a few skirmishes are still taking place, the last of the Emperor's warlords has taken command of the remains of the Imperial fleet. He has made two vital discoveries that could destroy the fragile new Republic—built with such cost to the Rebel Alliance. The tale that emerges is a towering epic of action, invention, mystery, and spectacle on a galactic scale—in short, a story that is worthy of the name Star Wars."
29579,Foundation (Foundation #1),Isaac Asimov,/book/show/29579.Foundation,244,2.14E-05,4.14,Science Fiction,FALSE,327049,"For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. But only Hari Seldon, creator of the revolutionary science of psychohistory, can see into the future -- to a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save mankind, Seldon gathers the best minds in the Empire -- both scientists and scholars -- and brings them to a bleak planet at the edge of the Galaxy to serve as a beacon of hope for a future generations. He calls his sanctuary the Foundation.But soon the fledgling Foundation finds itself at the mercy of corrupt warlords rising in the wake of the receding Empire. Mankind's last best hope is faced with an agonizing choice: submit to the barbarians and be overrun -- or fight them and be destroyed."
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,/book/show/77566.Hyperion,482,4.22E-05,4.22,Science Fiction,FALSE,142230,"On the world called Hyperion, beyond the law of the Hegemony of Man, there waits the creature called the Shrike. There are those who worship it. There are those who fear it. And there are those who have vowed to destroy it. In the Valley of the Time Tombs, where huge, brooding structures move backward through time, the Shrike waits for them all. On the eve of Armageddon, with the entire galaxy at war, seven pilgrims set forth on a final voyage to Hyperion seeking the answers to the unsolved riddles of their lives. Each carries a desperate hope—and a terrible secret. And one may hold the fate of humanity in his hands. A stunning tour de force filled with transcendent awe and wonder, Hyperion is a masterwork of science fiction that resonates with excitement and invention, the first volume in a remarkable new science fiction epic by the multiple-award-winning author of The Hollow ManFrom the Paperback edition."
112537,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,/book/show/112537.Rendezvous_with_Rama,243,2.72E-05,4.07,Science Fiction,FALSE,110354,"At first, only a few things are known about the celestial object that astronomers dub Rama. It is huge, weighing more than ten trillion tons. And it is hurtling through the solar system at an inconceivable speed. Then a space probe confirms the unthinkable: Rama is no natural object. It is, incredibly, an interstellar spacecraft. Space explorers and planet-bound scientists alike prepare for mankind's first encounter with alien intelligence. It will kindle their wildest dreams... and fan their darkest fears. For no one knows who the Ramans are or why they have come. And now the moment of rendezvous awaits — just behind a Raman airlock door."
218427,"Gateway (Heechee Saga, #1)",Frederik Pohl,/book/show/218427.Gateway,278,2.92E-05,4.07,Science Fiction,FALSE,34281,"Gateway opened on all the wealth of the Universe... and on reaches of unimaginable horror. When prospector Robinette Broadhead went out to Gateway on the Heechee spacecraft, he decided he would know which was the right mission to make him his fortune. Three missions later, now famous and permanently rich, Rob Broadhead has to face what happened to him and what he has become... in a journey into himself as perilous and even more horrifying than the nightmare trip through the interstellar void that he drove himself to take!"
