"","app_id","developer","score_rank","owners_min","owners_max","price","Name","hours_played","Action","Platformer","RPG","RTS","Strategy","Turn-Based Strategy"
"1",281990,"Paradox Development Studio","","2000000","5000000","3999","Stellaris",469,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2",374320,"FromSoftware, Inc.","","2000000","5000000","5999","DARK SOULS™ III",231,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"3",292030,"CD PROJEKT RED","","5000000","10000000","3999","The Witcher 3: Wild Hunt",170,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"4",435150,"Larian Studios","","2000000","5000000","4499","Divinity: Original Sin 2",156,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"5",594570,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","","2000000","5000000","5999","Total War: WARHAMMER II",147,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"6",364360,"CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)","","1000000","2000000","5999","Total War: WARHAMMER",145,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"7",373420,"Larian Studios","","1000000","2000000","3999","Divinity: Original Sin Enhanced Edition",74,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"8",403640,"Arkane Studios","","1000000","2000000","3999","Dishonored 2",68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",34330,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","","2000000","5000000","2999","Total War: SHOGUN 2",62,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"10",289130,"AMPLITUDE Studios","","1000000","2000000","2999","Endless Legend",59,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"11",205100,"Arkane Studios","","2000000","5000000","999","Dishonored",58,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"12",779340,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","","2000000","5000000","5999","Total War: THREE KINGDOMS",54,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"13",230410,"Digital Extremes","","20000000","50000000","0","Warframe",49,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",362960,"Obsidian Entertainment","","500000","1000000","2999","Tyranny",49,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"15",392110,"AMPLITUDE Studios","","1000000","2000000","3999","Endless Space 2",46,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"16",325610,"CREATIVE ASSEMBLY","","1000000","2000000","4499","Total War: ATTILA",40,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"17",394360,"Paradox Development Studio","","1000000","2000000","3999","Hearts of Iron IV",39,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"18",282070,"11 bit studios","","2000000","5000000","1999","This War of Mine",36,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"19",281610,"Blackbird Interactive","","200000","500000","4999","Homeworld: Deserts of Kharak",31,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"20",614570,"Arkane Studios","","200000","500000","2999","Dishonored®: Death of the Outsider™ ",28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"21",418240,"Mimimi Games","","500000","1000000","1359","Shadow Tactics: Blades of the Shogun",28,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"22",504230,"Matt Makes Games Inc.","","200000","500000","1999","Celeste",25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"23",298110,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","","1000000","2000000","2999","Far Cry 4",25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"24",423230,"The Game Bakers","","500000","1000000","1999","Furi",24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"25",502500,"BANDAI NAMCO Studios","","200000","500000","5999","ACE COMBAT™ 7: SKIES UNKNOWN",22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"26",379720,"id Software","","2000000","5000000","1999","DOOM",19.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27",261640,"2K Australia, Gearbox Software, Aspyr (Linux)","","2000000","5000000","1199","Borderlands: The Pre-Sequel",19.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28",218230,"Daybreak Game Company","","5000000","10000000","0","PlanetSide 2",18.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"29",262060,"Red Hook Studios","","2000000","5000000","2499","Darkest Dungeon®",18.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"30",244160,"Gearbox Software","","500000","1000000","3499","Homeworld Remastered Collection",17.6,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"31",596970,"Failbetter Games","","50000","100000","2499","Sunless Skies",17.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"32",203770,"Paradox Development Studio","","2000000","5000000","3999","Crusader Kings II",17.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"33",243970,"Klei Entertainment","","500000","1000000","1999","Invisible, Inc.",16.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"34",246620,"Ndemic Creations","","1000000","2000000","1499","Plague Inc: Evolved",16.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"35",17410,"DICE","","2000000","5000000","1999","Mirror's Edge",16.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"36",212680,"Subset Games","","2000000","5000000","999","FTL: Faster Than Light",15.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"37",208140,"AMPLITUDE Studios","","1000000","2000000","999","Endless Space",15,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"38",346940,"Harebrained Schemes","","500000","1000000","1999","Shadowrun: Hong Kong - Extended Edition",14,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"39",273070,"Arcen Games, LLC","","50000","100000","1999","The Last Federation",13.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"40",718590,"Hibernian Workshop","","20000","50000","1999","Dark Devotion",13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"41",234650,"Harebrained Schemes","","1000000","2000000","1499","Shadowrun Returns",12.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"42",209540,"Born Ready Games Ltd.","","500000","1000000","1999","Strike Suit Zero",12.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"43",377160,"Bethesda Game Studios","","5000000","10000000","2999","Fallout 4",11.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"44",214950,"CREATIVE ASSEMBLY","","2000000","5000000","5999","Total War: ROME II - Emperor Edition",9.8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"45",283160,"Marauder Interactive, LLC","","50000","100000","1999","House of the Dying Sun",9.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"46",387430,"Goatee Games","","0","20000","1999","The Viceroy",9.1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"47",644930,"Numantian Games","","500000","1000000","2699","They Are Billions",8.9,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"48",271240,"Mohawk Games","","500000","1000000","0","Offworld Trading Company",8.9,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"49",271590,"Rockstar North","","10000000","20000000","2999","Grand Theft Auto V",8.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50",367520,"Team Cherry","","1000000","2000000","1499","Hollow Knight",7.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"51",32370,"BioWare, Aspyr (Mac)","","2000000","5000000","999","STAR WARS™: Knights of the Old Republic™",7.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"52",107100,"Supergiant Games","","2000000","5000000","1499","Bastion",7.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"53",223100,"Dambuster Studios","","500000","1000000","2999","Homefront: The Revolution",7.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"54",24960,"DICE","","2000000","5000000","1999","Battlefield: Bad Company 2",7.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"55",204880,"Ironclad Games, Stardock Entertainment","","2000000","5000000","3999","Sins of a Solar Empire: Rebellion",6.7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"56",394230,"Gearbox Software","","500000","1000000","0","Battleborn",6.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"57",208580,"Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","","2000000","5000000","999","STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™",6.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"58",541210,"Killerfish Games","","50000","100000","3999","Cold Waters",6.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"59",228200,"Relic Entertainment","","500000","1000000","1999","Company of Heroes ",6.2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"60",8930,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","","10000000","20000000","2999","Sid Meier's Civilization V",6.1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"61",235540,"Fatshark","","1000000","2000000","2999","Warhammer: End Times - Vermintide",5.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"62",268870,"5 Lives Studios","","500000","1000000","2999","Satellite Reign",5.6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"63",286690,"4A Games","","2000000","5000000","1999","Metro 2033 Redux",5.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"64",40950,"FireFly Studios","","1000000","2000000","599","Stronghold HD",4.5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"65",730,"Valve, Hidden Path Entertainment","","100000000","200000000","0","Counter-Strike: Global Offensive",4.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
